В этом задании вам нужно провести анализ посетителей сайта за разные месяцы: определить постоянных посетителей, чтобы разослать им предложения по партнерской программе, и выявить тех, кто перестал посещать сайт, чтобы разослать им рекламные акции.

Вам дана таблица с визитами пользователей за три месяца (январь, февраль и март)

Таблица visits

user_id	visit_date
1	2023-02-10T14:10:20
1	2023-02-14T20:29:25
1	2023-03-27T16:58:51
1	2023-03-10T14:08:35
1	2023-03-13T04:36:18
2	2023-02-08T02:39:44
2	2023-03-22T20:05:18
3	2023-01-30T10:22:27
3	2023-02-16T06:14:04
4	2023-01-06T10:41:10
4	2023-01-20T18:44:43
4	2023-02-06T15:25:07
Составьте запрос, который вернет количество пользователей трех групп:

постоянных пользователей за все месяца: январь, февраль и март
пользователей, которые перестали посещать сайт после января
пользователей, которое перестали посещать сайт после февраля
В результате должна получиться таблица с полями regulars, left_january, left_february:

regulars	left_january	left_february
12	4	2

CREATE TABLE visits (
    user_id INT,
    visit_date DATE
);

INSERT INTO visits (user_id, visit_date) VALUES
(1,'2023-02-10T14:10:20'),
(1,'2023-02-14T20:29:25'),
(1,'2023-03-27T16:58:51'),
(1,'2023-03-10T14:08:35'),
(1,'2023-03-13T04:36:18'),
(2,'2023-02-08T02:39:44'),
(2,'2023-03-22T20:05:18'),
(3,'2023-01-30T10:22:27'),
(3,'2023-02-16T06:14:04'),
(4,'2023-01-06T10:41:10'),
(4,'2023-01-20T18:44:43'),
(4,'2023-02-06T15:25:07'),
(4,'2023-02-27T09:14:26'),
(4,'2023-02-10T18:33:38'),
(4,'2023-03-17T09:32:58'),
(4,'2023-03-01T08:49:01'),
(4,'2023-03-25T12:19:29'),
(5,'2023-01-11T09:42:47'),
(6,'2023-01-23T17:43:03'),
(6,'2023-03-13T05:25:16'),
(6,'2023-03-26T23:24:01'),
(6,'2023-03-12T17:35:27'),
(7,'2023-02-23T21:26:35'),
(7,'2023-02-01T13:21:45'),
(7,'2023-02-25T20:13:35'),
(7,'2023-03-04T13:43:51'),
(7,'2023-03-23T16:38:41'),
(7,'2023-03-06T03:36:33'),
(8,'2023-02-13T21:30:29'),
(8,'2023-02-11T03:41:17'),
(9,'2023-01-03T00:51:12'),
(9,'2023-01-26T12:09:58'),
(9,'2023-02-22T16:46:46'),
(9,'2023-02-10T05:17:06'),
(9,'2023-03-23T01:04:27'),
(10,'2023-02-26T08:37:46'),
(10,'2023-02-21T18:46:06'),
(10,'2023-03-16T15:18:14'),
(11,'2023-02-08T13:16:41'),
(11,'2023-02-18T07:44:25'),
(11,'2023-03-12T23:36:13'),
(12,'2023-01-07T23:29:06'),
(12,'2023-01-27T07:09:14'),
(12,'2023-01-14T03:38:41'),
(12,'2023-02-04T16:44:59'),
(13,'2023-02-01T16:17:47'),
(13,'2023-02-16T01:00:25'),
(13,'2023-02-06T20:33:59'),
(13,'2023-03-29T07:21:19'),
(13,'2023-03-28T15:43:33'),
(13,'2023-03-17T10:21:27'),
(14,'2023-01-26T06:21:16'),
(14,'2023-01-27T01:06:56'),
(14,'2023-02-19T20:12:37'),
(14,'2023-02-21T02:44:21'),
(14,'2023-03-20T19:43:22'),
(15,'2023-01-20T15:13:22'),
(15,'2023-01-01T09:59:22'),
(15,'2023-02-24T08:10:22'),
(15,'2023-02-01T03:20:42'),
(15,'2023-03-09T10:39:38'),
(15,'2023-03-09T02:27:13'),
(16,'2023-01-21T14:56:58'),
(16,'2023-01-11T02:03:24'),
(16,'2023-01-18T12:02:53'),
(16,'2023-02-19T16:57:38'),
(16,'2023-03-12T21:48:03'),
(17,'2023-01-23T11:43:20'),
(17,'2023-01-20T16:09:44'),
(17,'2023-02-01T14:03:54'),
(17,'2023-03-22T16:20:29'),
(17,'2023-03-21T06:46:44'),
(17,'2023-03-20T05:32:22'),
(18,'2023-01-03T15:37:47'),
(18,'2023-01-23T03:44:24'),
(18,'2023-02-17T19:52:22'),
(18,'2023-02-10T08:59:05'),
(18,'2023-02-15T08:17:27'),
(19,'2023-01-08T00:25:09'),
(19,'2023-01-08T03:31:29'),
(19,'2023-01-14T14:31:48'),
(19,'2023-02-16T06:09:07'),
(19,'2023-03-08T14:44:17'),
(19,'2023-03-21T06:28:01'),
(20,'2023-02-22T03:47:40'),
(20,'2023-02-10T04:54:42'),
(20,'2023-03-18T11:50:33'),
(20,'2023-03-16T11:14:42'),
(21,'2023-01-22T21:54:52'),
(21,'2023-01-23T06:55:03'),
(21,'2023-02-21T13:15:10'),
(21,'2023-02-23T01:25:43'),
(21,'2023-02-18T03:14:14'),
(21,'2023-03-19T09:53:34'),
(22,'2023-01-10T01:51:31'),
(22,'2023-01-15T14:42:35'),
(22,'2023-01-02T18:03:08'),
(22,'2023-02-07T05:43:23'),
(22,'2023-02-09T15:36:18'),
(22,'2023-02-18T21:39:35'),
(22,'2023-03-18T21:47:38'),
(22,'2023-03-12T05:24:51'),
(23,'2023-02-03T21:29:05'),
(23,'2023-02-22T23:11:25'),
(23,'2023-03-09T19:59:36'),
(23,'2023-03-13T21:24:18'),
(24,'2023-01-09T21:18:46'),
(24,'2023-01-10T04:15:13'),
(24,'2023-02-22T23:51:52'),
(24,'2023-02-26T06:20:48'),
(24,'2023-02-12T22:22:09'),
(24,'2023-03-14T17:05:34'),
(24,'2023-03-23T13:09:04'),
(24,'2023-03-29T13:16:36'),
(25,'2023-01-29T20:39:08'),
(25,'2023-01-28T03:55:50'),
(25,'2023-02-24T06:40:01'),
(25,'2023-02-03T15:08:25'),
(25,'2023-03-29T01:41:19'),
(25,'2023-03-10T17:55:18'),
(25,'2023-03-04T14:36:55'),
(26,'2023-01-17T11:30:34'),
(26,'2023-02-10T04:08:32'),
(26,'2023-02-08T07:29:57'),
(26,'2023-03-22T06:40:50'),
(26,'2023-03-01T05:56:57'),
(26,'2023-03-10T11:49:23'),
(27,'2023-02-27T12:55:53'),
(27,'2023-02-25T09:49:27'),
(27,'2023-03-16T11:15:50'),
(27,'2023-03-17T20:08:36'),
(28,'2023-01-30T21:13:27'),
(28,'2023-01-20T01:47:09'),
(28,'2023-01-18T09:45:21'),
(28,'2023-02-24T09:19:56'),
(28,'2023-02-15T20:06:50'),
(28,'2023-02-16T10:53:10'),
(28,'2023-03-24T08:34:34'),
(29,'2023-01-07T10:03:32'),
(29,'2023-01-22T22:52:59'),
(29,'2023-01-06T10:09:44'),
(29,'2023-02-10T23:44:40'),
(29,'2023-03-17T11:52:07'),
(29,'2023-03-25T03:07:52'),
(30,'2023-01-21T15:34:05'),
(30,'2023-02-18T15:44:11'),
(31,'2023-01-04T19:46:19'),
(31,'2023-02-13T11:16:51'),
(31,'2023-02-24T09:38:16'),
(31,'2023-03-18T12:31:26'),
(32,'2023-01-21T23:01:39'),
